budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,status,tagline,vote_average,vote_count,release_date_duplicate
200000000, Adventure Action Thriller Crime,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764, killing undercover secretagent britishsecretservice,en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811, EonProductions,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-10-30,586090727,106.0,Released,"For love, for hate, for justice, for revenge.",6.1,2965,2008
200000000, Adventure Fantasy Action,http://disney.go.com/disneypictures/pirates/,58, witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379, WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions,"[{""iso_3166_1"": ""JM"", ""name"": ""Jamaica""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""BS"", ""name"": ""Bahamas""}, {""iso_3166_1"": ""DM"", ""name"": ""Dominica""}]",2006-06-20,1065659812,151.0,Released,Jack is back!,7.0,5246,2006
255000000, Action Adventure Western,http://disney.go.com/the-lone-ranger/,57201, texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto,en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956, WaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductionsII BlindWinkProductions ClassicMedia,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-07-03,89289910,149.0,Released,Never Take Off the Mask,5.9,2311,2013
225000000, Action Adventure Fantasy ScienceFiction,http://www.manofsteel.com/,49521, savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009, LegendaryPictures WarnerBros DCEntertainment Syncopy CruelandUnusualFilms,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-12,662845518,143.0,Released,You will believe that a man can fly.,6.5,6359,2013
225000000, Adventure Family Fantasy,,2454, basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld,en,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602, WaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""PL"", ""name"": ""Poland""}, {""iso_3166_1"": ""SI"", ""name"": ""Slovenia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-05-15,419651413,150.0,Released,Hope has a new face.,6.3,1630,2008
220000000, ScienceFiction Action Adventure,http://marvel.com/avengers_movie/,24428, newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633, ParamountPictures MarvelStudios,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-04-25,1519557910,143.0,Released,Some assembly required.,7.4,11776,2012
380000000, Adventure Action Fantasy,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865, sea captain mutiny sword primeminister sailing silver ship duke merma pirate soldier battle swashbuckler aftercreditsstinger d,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856, WaltDisneyPictures JerryBruckheimerFilms MovingPictureCompanyMPC,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-05-14,1045713802,136.0,Released,Live Forever Or Die Trying.,6.4,4948,2011
225000000, Action Comedy ScienceFiction,http://www.sonypictures.com/movies/meninblack3/,41154, timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory,en,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179, AmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital ParkesMacDonaldProductions,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-05-23,624026776,106.0,Released,They are back... in time.,6.2,4160,2012
250000000, Action Adventure Fantasy,http://www.thehobbit.com/,122917, corruption elves dwarves orcs mdleearthtolkien hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery,en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.965743, WingNutFilms NewLineCinema WarnerBrosPictures Foot MetroGoldwynMayerMGM,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-12-10,956019788,144.0,Released,Witness the defining chapter of the Middle-Earth saga,7.1,4760,2014
215000000, Action Adventure Fantasy,http://www.theamazingspiderman.com,1930, lossoffather vigilante serum marvelcomic scientificexperiment sperbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger,en,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276, ColumbiaPictures LauraZiskinProductions MarvelEntertainment,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-06-27,752215857,136.0,Released,The untold story begins.,6.5,6586,2012
200000000, Action Adventure,http://www.robinhoodthemovie.com/,20662, robinhood archer knight sherwoodforest bowandarrow mdleages medieval kingofengland,en,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301, ImagineEntertainment UniversalPictures ScottFreeProductions RelativityMedia,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-05-12,310669540,140.0,Released,"Rise and rise again, until lambs become lions.",6.2,1398,2010
250000000, Adventure Fantasy,http://www.thehobbit.com/,57158, elves dwarves orcs hobbit dragon wizard swordandsorcery,en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564, WingNutFilms NewLineCinema WarnerBrosPictures MetroGoldwynMayerMGM,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-12-11,958400000,161.0,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,7.6,4524,2013
180000000, Adventure Fantasy,http://www.goldencompassmovie.com/index_german.html,2268, england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel,en,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906, NewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-12-04,372234864,113.0,Released,There are worlds beyond our own - the compass will show the way.,5.8,1303,2007
207000000, Adventure Drama Action,,254, filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur,en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.22601, WingNutFilms UniversalPictures BigPrimatePictures MFPVFilm,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2005-12-14,550000000,187.0,Released,The eighth wonder of the world.,6.6,2337,2005
200000000, Drama Romance Thriller,http://www.titanicmovie.com,597, shipwreck iceberg ship panic titanic oceanliner epic richwomanpoorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob d s,en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899, ParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainment,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-11-18,1845034188,194.0,Released,Nothing on Earth could come between them.,7.5,7562,1997
250000000, Adventure Action ScienceFiction,http://marvel.com/captainamericapremiere,271110, civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse d,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.372395, StudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures VitaRayDutchProductionsIII DeluxeDigitalStudios,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-04-27,1153304495,147.0,Released,Divided We Fall,7.1,7241,2016
209000000, Thriller Action Adventure ScienceFiction,,44833, fight usnavy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri,en,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",64.928382, UniversalPictures Hasbro BluegrassFilms Film,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-04-11,303025485,131.0,Released,The Battle for Earth Begins at Sea,5.5,2114,2012
150000000, Action Adventure ScienceFiction Thriller,http://www.jurassicworld.com/,135397, monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark d animalhorror,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552, UniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork Dentsu,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-09,1513528810,124.0,Released,The park is open.,6.5,8662,2015
200000000, Action Adventure Thriller,http://www.skyfall-movie.com,37724, spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao,en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993, ColumbiaPictures,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-10-25,1108561013,143.0,Released,Think on your sins.,6.9,7604,2012
200000000, Action Adventure Fantasy,http://www.sonypictures.com/movies/spider-man2/,558, dualentity loveofoneslife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain,en,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586, ColumbiaPictures LauraZiskinProductions MarvelEnterprises,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-06-25,783766341,127.0,Released,There's a hero in all of us.,6.7,4321,2004
200000000, Action Adventure ScienceFiction,http://marvel.com/ironman3,68721, terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin d warmachine ironpatriot extremis,en,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",77.68208, MarvelStudios,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-04-18,1215439994,130.0,Released,Unleash the power behind the armor.,6.8,8806,2013
200000000, Family Fantasy Adventure,http://disney.go.com/wonderland/,12155, basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld d,en,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105, WaltDisneyPictures TeamTodd TimBurtonProductions RothFilms ZanuckCompanyThe,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-03-03,1025491110,108.0,Released,You're invited to a very important date.,6.4,4645,2010
210000000, Adventure Action ScienceFiction Thriller,,36668, mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger,en,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526, IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DonnersCompany DuneEntertainment MajorStudioPartners BadHatHarryProductions thinkfilm MarvelEnterprises XCanadaProductions XUSProductions XMService,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-05-24,459359555,104.0,Released,Take a Stand,6.3,3525,2006
200000000, Animation Family,,62211, monster dormitory games animation bestfriend university scary aftercreditsstinger,en,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,89.186492, WaltDisneyPictures PixarAnimationStudios,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-20,743559607,104.0,Released,School never looked this scary.,7.0,3528,2013
150000000, ScienceFiction Action Adventure,http://www.transformersmovie.com/,8373, egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,en,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",21.939663, ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes HasbroStudios RevolutionSunStudios,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-06-19,836297228,150.0,Released,Revenge is coming.,6.0,3138,2009
210000000, ScienceFiction Action Adventure,http://www.transformersmovie.com,91314, sequel alien transformers giantrobot robot imax transformingrobot,en,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",116.840296, ParamountPictures AmblinEntertainment DiBonaventuraPictures PlatinumDunes ChinaMovieChannel HasbroStudios IanBryceProductions RevolutionSunStudios,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-06-25,1091405097,165.0,Released,This is not war. It's extinction.,5.8,3095,2014
200000000, Fantasy Adventure Family,http://www.ozthegreatandpowerfulmovie.com,68728, circus witch magic hope illusion lost magictrick wizard d,en,Oz: The Great and Powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",46.985445, WaltDisneyPictures RothFilms,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-03-07,491868548,130.0,Released,"In Oz, nothing is what it seems",5.7,3530,2013
200000000, Action Adventure Fantasy,http://www.theamazingspiderman.com,102382, obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers,en,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",89.270217, ColumbiaPictures MarvelEnterprises AviAradProductions MattTolmachProductions,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-04-16,705717432,142.0,Released,No more secrets.,6.5,4179,2014
170000000, Adventure Action ScienceFiction,http://disney.go.com/tron/,20526, artificialintelligence secretentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy,en,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",73.79505, WaltDisneyPictures LivePlanet PranaStudios SeanBaileyProductions RevolutionSunStudios KontseptFilmCompany,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-12-10,400062763,125.0,Released,The Game Has Changed.,6.3,2841,2010
